1,柠檬殿堂招大爹,柠檬硬糖保3会招人F,34,21,36,40
2,明晚六点下班协会,矢泽妮可(同萌协会),34,49,126,60
3,小魔仙掉刀行会,^三白白白^,81,71,128,87
4,月下莲,玄文^,122,51,128,129
5,咸鱼湾,川澄舞,128,208,93,277
6,双子天天掉刀会,春剑鲨鲨鲨,177,206,205,176
7,QAQ编编故事早下班,最帅最欧,218,202,204,214
8,装兔子的冰箱,两仪,339,268,204,238
9,魔灵学院,小百灵FH i,205,317,265,228
10,希望之花,艾利乌德,278,279,242,247
11,休闲养老没烦恼,快看彩虹,292,253,299,173
12,莱茵骑士团,红茶（莱茵最大内鬼）,218,253,250,383
13,无痕又掉刀了！痛哭！,无痕2号,252,202,390,368
14,泡泡茶壶,幸运小剑F,278,370,369,314
15,兰德索尔动物园,龟龟睡大觉,340,312,439,276
16,拉比 直接开摆！,千千酱,331,376,324,738
17,猫猫连结,流炫（招人看简介）,353,471,520,386
18,心理疾病医院,Monokuma,330,542,496,469
19,灬欧洲兔兔连萌灬,兔兔灬狐狸贴贴,242,613,444,575
20,照相馆陪大家一起掉刀,decade,369,473,546,738
21,咕噜灵波~转一圈？,这是六个数字四个字母,507,527,586,637
22,观潮阁金牛座备战收人,观潮阁-贤狼赫萝,598,559,627,493
23,宫商角徵羽,绫濑夕映,455,736,506,832
24,梦与魔法的乐园,梦天真,569,718,745,582
25,迦勒底的异世界观星所,苏月曦^,440,563,809,862
26,万年传承幻想乡,蓝天,710,711,677,823
27,圣衡骑士团,PAL.星菓,721,656,745,838
28,炼铜术士聚集地,奥修,644,750,768,838
29,QAQ萌国联邦,~利姆露~i,823,656,937,738
30,洗浴中心,朔月,950,768,896,578
31,君悦君兮君不知,筱説,868,877,794,785
32,圣威院,星回尘河,689,768,864,956
33,千恋丶万花灬丛云赛高,呓语,883,1008,798,766
34,QAQ掉刀老司姬,芈夜,949,907,714,1013
35,加把劲骑士团,掩饰,911,1033,844,1009
36,星月晓颜,光月紫,775,918,1052,1016
37,会长急救中心,三三,902,918,955,1018
38,西红柿炒鸡蛋,非伤,1011,909,948,1004
39,莫得感情的行会,天使w魔鬼乄,925,1229,889,1020
40,小心圣锤暴击,月白,755,932,1200,1019
41,流光雾中萤,见切 FHi,847,1229,1114,1004
42,珈百璃的后宫团,珈百璃,847,1017,1198,1086
43,瑶光,芥荨,1155,1093,939,1119
44,大枫树,夏嘻嘻,1050,1006,1107,1201
45,简简单单最真,青山七海,1164,1077,1122,1424
46,灰与幻想的格林姆迦尔,春酒,893,1017,1375,1500
47,星城,焊接者,1175,1353,1112,1500
48,真步公主护卫会,柚柚子,1146,1477,1471,1328
49,红魔馆,驱纹戒斗,1390,1144,1500,1399
50,QAQ拉胯鱼塘,月藜,1392,1348,1492,1500
51,风域,男妈i,1449,1500,1500,1500
52,公主近卫团,叮咚丶,1337,1500,1500,1500
53,绫绫,田心田,1500,1361,1500,1500
54,龙宝等混吃混喝回家,迷路镇的库露宓,1500,1312,1500,1500
55,放学后茶会,諾蓓兒,1500,1500,1500,1500
57,初音MIKU小幸运,Zlonix,1432,1500,1500,1500
